"Site","Year","SampleRound","Doy","Date","SFBloomStatus","TransectType","GenusSpecies","Abundance","SpParasitismRate","SpInfectedIndividuals","SFspecialist","d","Lecty","degree","r.degree","max.days","min.days","mean.days","median.days","mean.abund","median.abund","PlantPol","NestLoc","Excavate","Sociality","MeanITD","SFBloom","TotalAbundance","Richness","SiteParasitismRate","SiteInfectedIndividuals","County","State","Country","Lat","Long","SiteType","Datum","AdjSF","AdjHR","AltSiteName","SF2019_350","SF2019_1000","SF2019_2500","SF2018_350","SF2018_1000","SF2018_2500","SF2017_350","SF2017_1000","SF2017_2500","Nat350","Nat1000","Nat2500","HR350","HR1000","HR2500","SunflowerCurrent350","SunflowerCurrent1000","SunflowerCurrent2500","SunflowerLastYr350","SunflowerLastYr1000","SunflowerLastYr2500","FloralAbundance","FloralRichness","FloralDiv","HBParasitismRate"
"BM","2018","1",210,2018-07-29,"peak","SF","Svastra obliqua expurgata",19,1,6,"yes",0.20444741,"oligolectic",11,11.5,55,1,22.8888889,16,1.85714286,1,"Pollinator","below","ex","solitary",3.33681766,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF","Melissodes stearnsi",2,0,0,"yes",0.30355506,"oligolectic",11,26,58,1,26,22.5,2.58823529,1,"Pollinator","below","ex","solitary",2.03902439,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF","Melissodes lupina",4,1,4,"yes",0.22998277,"oligolectic",27,39.25,99,39,70.5,69,3.82178218,2,"Pollinator","below","ex","solitary",2.20487805,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF","Melissodes agilis",170,NA,0,"yes",0.4466257,"oligolectic",20,21.3333333,74,1,40.7777778,49,12.8717949,2,"Pollinator","below","ex","solitary",2.6000002,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",210,2018-07-29,"peak","SF","Halictus ligatus",13,0.375,3,"no",0.21310324,"polylectic",52,80.5714286,112,48,98.3,106.5,9.37714286,5,"Pollinator","below","ex","social",1.53170732,1,220,7,0.653846153846154,17,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Svastra obliqua expurgata",24,0.733333333333333,11,"yes",0.20444741,"oligolectic",11,11.5,55,1,22.8888889,16,1.85714286,1,"Pollinator","below","ex","solitary",3.33681766,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Halictus ligatus",5,0.333333333333333,1,"no",0.21310324,"polylectic",52,80.5714286,112,48,98.3,106.5,9.37714286,5,"Pollinator","below","ex","social",1.53170732,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Agapostemon texanus",1,NA,0,"no",0.15177952,"polylectic",12,21,87,1,38,46,1.73684211,1,"Pollinator","below","ex","solitary",1.98048781,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Melissodes agilis",141,0.9,18,"yes",0.4466257,"oligolectic",20,21.3333333,74,1,40.7777778,49,12.8717949,2,"Pollinator","below","ex","solitary",2.6000002,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Melissodes lupina",2,NA,0,"yes",0.22998277,"oligolectic",27,39.25,99,39,70.5,69,3.82178218,2,"Pollinator","below","ex","solitary",2.20487805,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
