"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",13.339,46.837,0.285,0.776
"scale(TotalAbundance)",-0.194,0.181,-1.068,0.285
"scale(FloralAbundance)",-0.442,0.193,-2.294,0.022
"Socialitysolitary",-16.712,46.837,-0.357,0.721
"Lectypolylectic",-16.246,46.837,-0.347,0.729
"scale(MeanITD)",0.512,0.259,1.979,0.048
"scale(TotalAbundance):scale(FloralAbundance)",0.06,0.2,0.302,0.763
