"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.086,0.81,-3.809,0
"scale(TotalAbundance)",-0.141,0.143,-0.987,0.324
"scale(FloralAbundance)",0.095,0.132,0.722,0.47
"Socialitysolitary",0.306,0.863,0.354,0.723
"Lectypolylectic",-0.074,0.735,-0.1,0.92
"scale(MeanITD)",0.339,0.171,1.978,0.048
"scale(TotalAbundance):scale(FloralAbundance)",-0.124,0.129,-0.964,0.335
