"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)","P1","P1.ci.ub","P1.ci.lb","OR","OR.ci.ub","OR.ci.lb","ORdelta","ORdelta.ci.ub","ORdelta.ci.lb"
"(Intercept)",-3.184,0.357,0.358,8.902,0,0.04,0.74,-0.661,0.041,0.083,0.021,-95.856,-91.653,-97.943
"scale(FloralAbundance)",0.182,0.107,0.107,1.699,0.089,0.047,0.257,-0.162,1.199,1.479,0.973,19.939,47.906,-2.739
"SFBloom",-0.456,0.323,0.323,1.412,0.158,0.026,0.658,-0.607,0.634,1.193,0.337,-36.62,19.274,-66.321
"Socialitysolitary",0.51,0.64,0.64,0.797,0.426,0.065,1.318,-1.189,1.665,5.832,0.475,66.512,483.225,-52.46
"scale(TotalAbundance)",-0.079,0.119,0.119,0.662,0.508,0.037,0.27,-0.196,0.924,1.167,0.732,-7.569,16.661,-26.766
"scale(FloralDiv)",0.047,0.109,0.11,0.43,0.667,0.042,0.256,-0.173,1.048,1.299,0.846,4.825,29.907,-15.415
"scale(MeanITD)",0.095,0.22,0.22,0.43,0.667,0.044,0.474,-0.387,1.099,1.691,0.714,9.917,69.101,-28.553
"scale(r.degree)",-0.101,0.373,0.373,0.271,0.786,0.036,0.766,-0.694,0.904,1.876,0.435,-9.629,87.588,-56.464
