"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.445,0.621,0.718,0.473
"scale(TotalAbundance)",0.45,0.082,5.491,0
"scale(FloralAbundance)",-0.223,0.078,-2.866,0.004
"Socialitysolitary",0.35,0.58,0.604,0.546
"Lectypolylectic",-0.522,0.569,-0.917,0.359
"scale(MeanITD)",0.173,0.144,1.202,0.229
"scale(TotalAbundance):scale(FloralAbundance)",-0.079,0.081,-0.977,0.328
