"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.37,0.139,9.85,0
"TransectTypeHR",-0.102,0.172,-0.594,0.553
"TransectTypeWM",-0.312,0.178,-1.751,0.08
"scale(Doy)",1.026,0.665,1.543,0.123
"scale(I(Doy^2))",-0.918,0.661,-1.388,0.165
"scale(FloralAbundance)",0.082,0.065,1.264,0.206
"scale(log(SunflowerCurrent350))",0,0.067,0,1
"scale(log(SunflowerLastYr350))",0.123,0.067,1.836,0.066
